order_id,order_date,customer_name,category,quantity,unit_price,sales,payment_method
1001,2026-06-13,Customer_7,Electronics,3,1215.28,3645.84,Card
1002,2026-07-08,Customer_174,Electronics,5,528.18,2640.9,Net Banking
1003,2026-01-09,Customer_24,Electronics,2,1162.07,2324.14,UPI
1004,2026-05-24,Customer_184,Clothing,5,1974.91,9874.55,Net Banking
1005,2026-05-31,Customer_208,Home & Kitchen,1,3450.81,3450.81,Card
1006,2026-06-28,Customer_88,Sports,3,826.34,2479.02,Cash
1007,2026-01-27,Customer_98,Electronics,1,1711.56,1711.56,Cash
1008,2026-06-04,Customer_207,Home & Kitchen,1,3324.33,3324.33,UPI
1009,2026-04-07,Customer_142,Electronics,3,3757.91,11273.73,Cash
1010,2026-05-28,Customer_181,Clothing,1,349.34,349.34,Card
1011,2026-07-17,Customer_21,Home & Kitchen,2,3919.2,7838.4,Net Banking
1012,2026-03-13,Customer_163,Sports,3,857.55,2572.65,Cash
1013,2026-02-23,Customer_69,Books,1,2799.72,2799.72,Card
1014,2026-05-17,Customer_63,Books,2,2160.83,4321.66,Cash
1015,2026-06-13,Customer_143,Books,2,3128.07,6256.14,UPI
1016,2026-02-28,Customer_207,Electronics,3,1895.07,5685.21,UPI
1017,2026-02-24,Customer_184,Beauty,3,1074.93,3224.79,Net Banking
1018,2026-04-12,Customer_118,Books,2,1302.23,2604.46,Card
1019,2026-07-10,Customer_138,Beauty,3,3399.51,10198.53,Net Banking
1020,2026-05-30,Customer_93,Sports,2,4488.37,8976.74,Card
1021,2026-05-11,Customer_24,Sports,1,3895.8,3895.8,Card
1022,2026-06-10,Customer_203,Clothing,4,2744.38,10977.52,Net Banking
1023,2026-04-08,Customer_120,Beauty,5,1243.65,6218.25,UPI
1024,2026-06-24,Customer_30,Books,5,3416.32,17081.6,Cash
1025,2026-01-29,Customer_112,Home & Kitchen,2,2123.7,4247.4,Cash
1026,2026-05-09,Customer_130,Clothing,1,3936.76,3936.76,Cash
1027,2026-08-04,Customer_130,Books,5,1015.26,5076.3,Cash
1028,2026-07-15,Customer_139,Clothing,5,4145.45,20727.25,Cash
1029,2026-05-06,Customer_29,Electronics,3,3972.44,11917.32,Cash
1030,2026-03-03,Customer_62,Electronics,5,4269.23,21346.15,UPI
1031,2026-07-07,Customer_209,Sports,1,4404.23,4404.23,Card
1032,2026-02-02,Customer_122,Books,5,868.3,4341.5,Net Banking
1033,2026-02-24,Customer_194,Beauty,2,3251.33,6502.66,Net Banking
1034,2026-06-21,Customer_96,Books,4,4063.32,16253.28,Net Banking
1035,2026-01-31,Customer_58,Clothing,1,1620.67,1620.67,Card
1036,2026-05-31,Customer_2,Clothing,1,3229.11,3229.11,UPI
1037,2026-02-28,Customer_9,Electronics,3,458.23,1374.69,Card
1038,2026-03-13,Customer_125,Books,2,2495.67,4991.34,Net Banking
1039,2026-03-04,Customer_207,Sports,4,978.28,3913.12,UPI
1040,2026-06-18,Customer_91,Sports,4,1938.29,7753.16,UPI
1041,2026-06-22,Customer_166,Books,1,413.67,413.67,Cash
1042,2026-07-24,Customer_64,Electronics,2,977.41,1954.82,Net Banking
1043,2026-02-05,Customer_47,Sports,3,2162.43,6487.29,UPI
1044,2026-04-24,Customer_26,Beauty,1,2986.83,2986.83,UPI
1045,2026-01-24,Customer_43,Clothing,4,2262.54,9050.16,Card
1046,2026-08-10,Customer_16,Sports,2,1798.53,3597.06,Net Banking
1047,2026-03-09,Customer_74,Sports,4,3180.17,12720.68,Net Banking
1048,2026-02-09,Customer_76,Clothing,2,4363.89,8727.78,UPI
1049,2026-07-11,Customer_15,Home & Kitchen,1,2691.17,2691.17,Card
1050,2026-01-15,Customer_21,Beauty,2,448.07,896.14,UPI
1051,2026-06-22,Customer_104,Clothing,1,4245.94,4245.94,Card
1052,2026-05-29,Customer_11,Beauty,5,506.63,2533.15,Cash
1053,2026-03-08,Customer_172,Clothing,3,1188.28,3564.84,Net Banking
1054,2026-02-03,Customer_166,Books,3,2138.93,6416.79,UPI
1055,2026-01-03,Customer_160,Sports,5,4483.02,22415.1,UPI
1056,2026-05-18,Customer_130,Clothing,3,726.19,2178.57,Cash
1057,2026-01-18,Customer_95,Clothing,3,836.2,2508.6,Cash
1058,2026-06-06,Customer_136,Books,1,3055.2,3055.2,Cash
1059,2026-06-19,Customer_35,Electronics,3,652.11,1956.33,UPI
1060,2026-07-10,Customer_40,Beauty,3,1375.64,4126.92,Card
1061,2026-07-03,Customer_53,Home & Kitchen,3,2348.53,7045.59,Cash
1062,2026-08-05,Customer_24,Electronics,4,3757.66,15030.64,UPI
1063,2026-01-01,Customer_198,Home & Kitchen,2,2921.44,5842.88,Cash
1064,2026-02-11,Customer_114,Books,5,3219.65,16098.25,UPI
1065,2026-01-29,Customer_177,Electronics,2,2523.32,5046.64,Cash
1066,2026-05-30,Customer_38,Beauty,4,704.39,2817.56,Cash
1067,2026-04-04,Customer_92,Electronics,2,3116.99,6233.98,UPI
1068,2026-04-01,Customer_105,Beauty,5,3410.23,17051.15,Card
1069,2026-08-10,Customer_205,Clothing,2,3984.16,7968.32,UPI
1070,2026-02-15,Customer_86,Books,4,3639.72,14558.88,Card
1071,2026-03-10,Customer_202,Clothing,1,1814.06,1814.06,UPI
1072,2026-08-08,Customer_57,Sports,2,3702.15,7404.3,Net Banking
1073,2026-03-31,Customer_211,Home & Kitchen,2,1119.72,2239.44,Card
1074,2026-04-13,Customer_72,Home & Kitchen,1,4355.97,4355.97,Cash
1075,2026-03-31,Customer_131,Books,4,3105.9,12423.6,Cash
1076,2026-01-08,Customer_67,Electronics,2,2675.57,5351.14,Cash
1077,2026-01-10,Customer_153,Electronics,4,1653.74,6614.96,Cash
1078,2026-04-22,Customer_131,Beauty,1,1825.6,1825.6,Card
1079,2026-03-07,Customer_182,Electronics,4,157.36,629.44,Card
1080,2026-04-04,Customer_18,Sports,3,2860.73,8582.19,UPI
1081,2026-07-04,Customer_130,Home & Kitchen,3,3050.98,9152.94,Cash
1082,2026-04-14,Customer_76,Books,5,703.7,3518.5,Net Banking
1083,2026-06-20,Customer_174,Sports,2,2827.49,5654.98,Cash
1084,2026-04-14,Customer_214,Beauty,1,1471.86,1471.86,Card
1085,2026-04-21,Customer_156,Beauty,3,2172.7,6518.1,Net Banking
1086,2026-06-22,Customer_131,Clothing,4,3602.75,14411.0,Card
1087,2026-06-18,Customer_73,Electronics,5,3037.76,15188.8,Cash
1088,2026-01-24,Customer_173,Clothing,3,1127.19,3381.57,Card
1089,2026-02-07,Customer_12,Electronics,2,4430.12,8860.24,UPI
1090,2026-04-27,Customer_162,Sports,5,995.79,4978.95,Net Banking
1091,2026-05-07,Customer_63,Sports,2,3003.85,6007.7,UPI
1092,2026-07-12,Customer_200,Electronics,4,1101.96,4407.84,Net Banking
1093,2026-01-13,Customer_64,Beauty,1,2135.61,2135.61,Net Banking
1094,2026-06-20,Customer_144,Beauty,5,1530.25,7651.25,Net Banking
1095,2026-06-06,Customer_130,Books,4,3762.98,15051.92,Net Banking
1096,2026-02-10,Customer_122,Books,4,1277.48,5109.92,Card
1097,2026-08-04,Customer_71,Books,5,2258.0,11290.0,Card
1098,2026-03-12,Customer_20,Sports,3,1170.05,3510.15,Cash
1099,2026-03-23,Customer_21,Beauty,2,806.11,1612.22,Net Banking
1100,2026-06-27,Customer_181,Clothing,2,429.4,858.8,Net Banking
1101,2026-03-26,Customer_120,Beauty,4,420.86,1683.44,Net Banking
1102,2026-04-10,Customer_179,Beauty,1,3876.78,3876.78,Net Banking
1103,2026-05-03,Customer_91,Electronics,3,3427.62,10282.86,Net Banking
1104,2026-05-18,Customer_189,Books,5,3629.43,18147.15,Card
1105,2026-05-05,Customer_70,Clothing,4,2262.54,9050.16,Net Banking
1106,2026-03-28,Customer_174,Books,4,3300.19,13200.76,Net Banking
1107,2026-02-02,Customer_137,Beauty,1,4095.14,4095.14,UPI
1108,2026-01-22,Customer_110,Books,2,3920.8,7841.6,Card
1109,2026-01-13,Customer_98,Home & Kitchen,3,1070.72,3212.16,Cash
1110,2026-03-28,Customer_72,Sports,4,1247.38,4989.52,UPI
1111,2026-05-01,Customer_192,Electronics,5,376.57,1882.85,Cash
1112,2026-02-27,Customer_18,Books,1,3430.91,3430.91,Card
1113,2026-02-21,Customer_160,Electronics,2,1187.67,2375.34,Net Banking
1114,2026-06-21,Customer_145,Electronics,2,2172.9,4345.8,Cash
1115,2026-07-16,Customer_43,Home & Kitchen,5,2791.53,13957.65,UPI
1116,2026-07-19,Customer_80,Clothing,1,2667.28,2667.28,Cash
1117,2026-05-28,Customer_97,Books,4,4245.4,16981.6,Card
